collection,constellation,processing:level,aws_eos,cop_ads,cop_cds,cop_dataspace,cop_ewds,cop_marine,creodias,creodias_s3,dedl,dedt_lumi,dedt_mn5,earth_search,earth_search_gcs,ecmwf,eumetsat_ds,fedeo_ceda,geodes,geodes_s3,hydroweb_next,meteoblue,peps,planetary_computer,sara,usgs,usgs_satapi_aws,wekeo_cmems,wekeo_ecmwf,wekeo_main
MO_WIND_GLO_PHY_L3_MY_012_005,,Level 3,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_WIND_GLO_PHY_L3_NRT_012_002,,Level 3,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_WIND_GLO_PHY_L4_MY_012_006,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_WIND_GLO_PHY_L4_NRT_012_004,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MSG_AMVR02,"MSG,MFG",L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_CLM,MSG,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_CLM_IODC,MSG,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_CTH,MSG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MSG_CTH_IODC,MSG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MSG_GSAL2R02,"MSG,MFG",L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_HRSEVIRI,MSG,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_HRSEVIRI_IODC,MSG,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_LSA_FRM,MSG,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_LSA_LSTDE,MSG,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_LSA_LST_CDR,MSG,L3,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_MFG_GSA_0,"MFG,MSG",L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MSG_MSG15_RSS,MSG,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MSG_OCA_CDR,MSG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MSG_RSS_CLM,MSG,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MTG_FCI_AMV_BUFR,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_FCI_AMV_NETCDF,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_FCI_ASR_BUFR,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_FCI_ASR_NETCDF,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_FCI_CLM,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_FCI_FDHSI,MTG,L1,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_FCI_GII,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_FCI_HRFI,MTG,L1,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_FCI_OCA,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_FCI_OLR,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_LI_AF,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_LI_AFA,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_LI_AFR,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_LI_LEF,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_LI_LFL,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MTG_LI_LGR,MTG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
NAIP,National Agriculture Imagery Program,N/A,available,,,,,,,,,,,available,,,,,,,,,,available,,,,,,
